city,make,model,variant,mileage,make_year,price,fuel_type,no_of_owners,color,body_type,transmission,registration_year,car_age,make_model
delhi-ncr,hyundai,new i20,sportz 1.2 mt dual tone,80637,2021,556000,petrol,1,silver,hatchback,manual,2021,5,hyundai_new i20
delhi-ncr,maruti suzuki,vitara brezza,vxi,41189,2021,630000,petrol,2,red,suv,manual,2021,5,maruti suzuki_vitara brezza
delhi-ncr,honda,amaze,1.2 s mt petrol,17293,2018,506000,petrol,1,red,sedan,manual,2018,8,honda_amaze
delhi-ncr,datsun,redi-go,t,43941,2016,182000,petrol,2,grey,hatchback,manual,2018,10,datsun_redi-go
delhi-ncr,hyundai,creta,1.6 sx plus auto petrol,66029,2017,788000,petrol,1,white,suv,automatic,2017,9,hyundai_creta
delhi-ncr,maruti suzuki,wagon r,lxi cng,102528,2016,312000,cng,1,white,hatchback,manual,2016,10,maruti suzuki_wagon r
delhi-ncr,hyundai,grand i10,asta 1.2 kappa vtvt,20726,2017,462000,petrol,1,white,hatchback,manual,2017,9,hyundai_grand i10
delhi-ncr,tata,altroz,xz petrol,64430,2020,493000,petrol,2,grey,hatchback,manual,2020,6,tata_altroz
delhi-ncr,maruti suzuki,dzire,vxi amt,31215,2018,492000,petrol,2,grey,sedan,automatic,2018,8,maruti suzuki_dzire
delhi-ncr,honda,amaze,1.2 e mt petrol,26744,2019,461000,petrol,1,white,sedan,manual,2019,7,honda_amaze
delhi-ncr,tata,punch,adventure rhythm pack mt,49590,2021,528000,petrol,1,blue,suv,manual,2022,5,tata_punch
delhi-ncr,audi,a3,40 tfsi premium,33576,2015,1211858,petrol,1,blue,sedan,automatic,2015,11,audi_a3
delhi-ncr,maruti suzuki,ignis,delta 1.2 amt,28147,2018,418000,petrol,2,grey,hatchback,automatic,2019,8,maruti suzuki_ignis
delhi-ncr,maruti suzuki,wagon r,zxi plus 1.2 ags,24290,2022,584000,petrol,1,grey,hatchback,automatic,2022,4,maruti suzuki_wagon r
delhi-ncr,maruti suzuki,swift,lxi,17909,2023,566000,petrol,1,white,hatchback,manual,2023,3,maruti suzuki_swift
delhi-ncr,maruti suzuki,ciaz,alpha 1.5 at,5600,2024,1149283,petrol,1,blue,sedan,automatic,2024,2,maruti suzuki_ciaz
delhi-ncr,maruti suzuki,baleno,zeta 1.2,41910,2016,472000,petrol,1,silver,hatchback,manual,2016,10,maruti suzuki_baleno
delhi-ncr,mg motors,hector,sharp 1.5 petrol turbo hybrid mt,71294,2021,1237153,petrol,1,black,suv,manual,2021,5,mg motors_hector
delhi-ncr,maruti suzuki,ignis,zeta 1.2 mt,52923,2017,373000,petrol,2,grey,hatchback,manual,2017,9,maruti suzuki_ignis
delhi-ncr,tata,tiago,xz plus,24448,2021,547000,petrol,1,blue,hatchback,manual,2021,5,tata_tiago
delhi-ncr,maruti suzuki,baleno,zeta ags,29956,2022,723000,petrol,1,silver,hatchback,automatic,2022,4,maruti suzuki_baleno
delhi-ncr,audi,a6,45 tfsi premium plus,36555,2021,4029758,petrol,1,black,sedan,automatic,2021,5,audi_a6
delhi-ncr,maruti suzuki,ciaz,zeta 1.4 at,67603,2017,580000,petrol,2,blue,sedan,automatic,2017,9,maruti suzuki_ciaz
delhi-ncr,renault,triber,rxl,44645,2021,486000,petrol,1,silver,muv,manual,2021,5,renault_triber
delhi-ncr,jeep,compass,limited 1.4 petrol at,47358,2018,950000,petrol,2,black,suv,automatic,2018,8,jeep_compass
delhi-ncr,renault,kwid,rxl,27840,2018,275000,petrol,1,red,hatchback,manual,2018,8,renault_kwid
delhi-ncr,toyota,innova crysta,zx 2.7 at 7 str,26219,2022,2052125,petrol,1,black,muv,automatic,2022,4,toyota_innova crysta
delhi-ncr,maruti suzuki,wagon r 1.0,lxi cng (outside fitted),93109,2014,215000,cng,2,white,hatchback,manual,2014,12,maruti suzuki_wagon r 1.0
delhi-ncr,hyundai,grand i10,sportz 1.2 kappa vtvt,8596,2019,503000,petrol,1,silver,hatchback,manual,2019,7,hyundai_grand i10
delhi-ncr,maruti suzuki,swift,vxi amt,46342,2018,511000,petrol,1,blue,hatchback,automatic,2018,8,maruti suzuki_swift
delhi-ncr,maruti suzuki,ciaz,delta 1.4 mt,41137,2018,599000,petrol,1,grey,sedan,manual,2018,8,maruti suzuki_ciaz
